FR,DY,PRP,HS,HZ,Hybrid1,Hybrid2
102,116,82,79,75,70,70
178,104,89,80,77,53,68
132,135,94,94,84,56,70
157,119,90,97,83,54,66
125,140,75,69,89,57,62
133,109,87,91,74,63,74
136,127,73,68,89,54,68
144,118,72,78,82,64,76
138,130,77,101,83,57,74
134,123,72,114,91,59,67
125,101,76,102,84,63,62
101,114,78,69,82,60,72
144,127,90,95,80,66,63
110,126,75,90,89,58,94
85,119,79,82,87,61,66
157,128,84,67,81,60,81
100,113,69,86,84,66,80
196,112,85,70,97,54,56
133,118,92,74,82,61,84
116,129,85,74,82,63,60
123,126,79,68,93,67,60
157,106,76,66,89,53,68
110,140,78,98,93,58,79
88,122,86,87,92,62,70
116,102,75,98,82,68,61
98,116,100,83,86,53,71
123,124,61,75,90,57,65
140,110,75,70,86,60,66
103,153,80,81,87,57,56
115,121,95,121,87,59,66
127,116,86,80,95,58,68
130,137,92,74,91,57,65
153,114,93,80,80,65,67
102,130,86,73,75,74,64
106,135,81,107,69,62,76
135,129,89,88,93,55,64
130,113,72,80,84,59,70
2821,2218,inf,inf,inf,inf,inf
974,711,inf,inf,1527,1170,inf
inf,inf,inf,inf,2392,inf,inf
982,1252,1488,inf,836,568,2959
2243,836,inf,inf,2081,inf,inf
680,510,1126,1706,862,618,2076
545,623,494,800,520,466,1561
994,869,inf,inf,1549,1405,inf
735,338,1212,inf,866,445,inf
1097,468,1402,2675,1006,1003,inf
1335,1330,2153,2626,1443,2016,inf
1450,932,1899,inf,1554,2087,inf
782,467,1394,inf,1068,691,inf
1266,865,2082,1953,1273,1637,inf
1195,1095,1374,inf,1190,1320,inf
1438,inf,inf,inf,1513,2487,inf
1127,1203,2294,2828,1338,2372,inf
1143,841,inf,inf,2081,inf,inf
inf,inf,1315,inf,871,920,inf
1088,2303,inf,inf,847,1696,inf
868,566,1324,inf,1513,1507,inf
1014,1578,inf,inf,1970,2147,inf
1360,900,inf,inf,1116,1975,inf
423,588,1074,1044,781,505,1793
1120,972,1446,inf,1241,2706,inf
886,616,1183,2693,1025,895,inf
583,1256,551,inf,689,508,1234
1079,1170,1453,inf,985,1007,inf
989,1160,1371,2865,1146,2518,inf
1281,2968,inf,inf,1893,1989,inf
863,1627,1132,2754,1000,1032,inf
1247,907,inf,inf,1375,2728,inf
2140,901,2414,inf,1851,inf,2334
1512,inf,2451,inf,1877,2386,inf
706,1926,2163,inf,1847,1634,inf
753,802,1528,inf,952,1529,inf
1936,1673,inf,inf,1966,inf,inf
557,660,949,inf,1145,778,2662
950,1189,2067,2525,1251,805,inf
2350,888,1958,inf,1344,2418,inf
781,732,1941,inf,1377,1187,inf
2653,881,inf,inf,2965,2096,inf
925,580,1727,2170,759,739,inf
589,1075,1494,2079,789,872,inf
643,inf,779,inf,1038,1075,2554
1538,inf,inf,2952,2750,2473,inf
1074,807,1314,2111,1469,1476,inf
1337,1279,2562,inf,1315,1407,inf
724,492,1340,1588,968,1152,inf
1017,829,1085,inf,2067,1585,inf
1691,inf,inf,inf,1941,1930,inf
907,635,1269,inf,889,974,inf
1278,608,2757,inf,1030,923,inf
